Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
3.32,105.214,-2678.142,511.038,264.99,-2003.4,108.806,-1924.8,1322.39,110.499,-2180.2,1082.36,526.224
3.33,99.598,-2619.518,517.974,262.172,-1987.606,103.495,-1889.62,1300.96,107.269,-2123.34,1074.22,529.633
3.34,93.859,-2559.132,521.534,259.748,-1975.194,99.255,-1854.95,1278.01,103.148,-2064.75,1066.24,531.533
3.35,88.186,-2497.386,521.71,257.703,-1965.721,96.239,-1820.97,1254.06,98.077,-2004.56,1059.02,531.629
3.36,82.777,-2434.688,518.577,256.018,-1958.736,94.417,-1787.83,1229.77,92.018,-1942.98,1053.25,529.659
3.37,77.824,-2371.432,512.278,254.677,-1953.799,93.606,-1755.72,1205.89,84.971,-1880.37,1049.61,525.414
3.38,73.503,-2307.956,503.011,253.657,-1950.494,93.534,-1724.79,1183.28,76.991,-1817.2,1048.79,518.771
3.39,69.973,-2244.513,491.019,252.939,-1948.432,93.925,-1695.19,1162.8,68.194,-1754.11,1051.29,509.71
3.4,67.371,-2181.235,476.575,252.499,-1947.256,94.575,-1666.93,1145.23,58.76,-1691.75,1057.44,498.341
3.41,65.818,-2118.122,459.97,252.311,-1946.634,95.399,-1639.96,1131.17,48.914,-1630.81,1067.32,484.892
3.42,65.413,-2055.045,441.512,252.36,-1946.244,96.456,-1614.13,1121.07,38.907,-1571.92,1080.73,469.699
3.43,66.233,-1991.773,421.511,252.638,-1945.759,97.94,-1589.17,1115.08,28.984,-1515.56,1097.27,453.161
3.44,68.317,-1928.009,400.282,253.154,-1944.833,100.159,-1564.78,1113.12,19.362,-1462.07,1116.35,435.714
3.45,71.652,-1863.44,378.138,253.927,-1943.103,103.496,-1540.59,1114.88,10.22,-1411.63,1137.27,417.775
3.46,76.152,-1797.776,355.387,254.98,-1940.201,108.363,-1516.3,1119.86,1.685,-1364.22,1159.3,399.725
3.47,81.649,-1730.789,332.34,256.325,-1935.799,115.149,-1491.58,1127.45,-6.16,-1319.74,1181.68,381.884
3.48,87.9,-1662.332,309.317,257.955,-1929.656,124.177,-1466.18,1136.98,-13.277,-1277.93,1203.77,364.514
3.49,94.605,-1592.365,286.662,259.834,-1921.657,135.673,-1439.93,1147.83,-19.667,-1238.53,1224.97,347.825
3.5,101.436,-1520.967,264.748,261.889,-1911.838,149.762,-1412.66,1159.4,-25.354,-1201.22,1244.82,331.998
3.51,108.072,-1448.351,243.982,264.018,-1900.366,166.471,-1384.29,1171.19,-30.38,-1165.6,1262.92,317.191
3.52,114.241,-1374.884,224.784,266.101,-1887.481,185.744,-1354.78,1182.77,-34.797,-1131.35,1278.99,303.551
3.53,119.74,-1301.101,207.566,268.023,-1873.414,207.456,-1324.1,1193.85,-38.658,-1098.07,1292.8,291.194
3.54,124.454,-1227.705,192.673,269.699,-1858.291,231.422,-1292.25,1204.14,-42.019,-1065.4,1304.17,280.195
3.55,128.373,-1155.548,180.339,271.104,-1842.071,257.4,-1259.22,1213.5,-44.936,-1033.02,1312.96,270.585
3.56,131.589,-1085.589,170.624,272.287,-1824.513,285.093,-1225.04,1221.78,-47.465,-1000.62,1319.07,262.348
3.57,134.291,-1018.821,163.377,273.366,-1805.203,314.149,-1189.71,1228.86,-49.663,-967.959,1322.4,255.436
3.58,136.734,-956.187,158.223,274.518,-1783.624,344.166,-1153.25,1234.63,-51.59,-934.855,1322.93,249.783
3.59,139.203,-898.5,154.596,275.942,-1759.232,374.7,-1115.69,1239.0,-53.302,-901.184,1320.62,245.327
3.6,141.963,-846.371,151.809,277.835,-1731.535,405.272,-1077.05,1241.9,-54.854,-866.885,1315.52,242.019
3.61,145.211,-800.166,149.161,280.361,-1700.15,435.376,-1037.37,1243.23,-56.295,-831.957,1307.69,239.839
3.62,149.051,-759.996,146.043,283.636,-1664.827,464.49,-996.692,1242.93,-57.668,-796.448,1297.2,238.791
3.63,153.48,-725.714,142.037,287.712,-1625.465,492.094,-955.029,1240.94,-59.007,-760.452,1284.17,238.915
3.64,158.398,-696.944,136.968,292.574,-1582.103,517.684,-912.428,1237.24,-60.332,-724.105,1268.75,240.277
3.65,163.627,-673.121,130.917,298.143,-1534.902,540.796,-868.902,1231.87,-61.643,-687.576,1251.08,242.965
3.66,168.939,-653.546,124.186,304.285,-1484.124,561.024,-824.452,1224.86,-62.927,-651.068,1231.42,247.07
3.67,174.096,-637.477,117.231,310.826,-1430.113,578.036,-779.055,1216.37,-64.145,-614.805,1210.03,252.68
3.68,178.892,-624.217,110.569,317.568,-1373.28,591.58,-732.672,1206.61,-65.229,-579.031,1187.3,259.854
3.69,183.174,-613.201,104.69,324.303,-1314.089,601.492,-685.246,1195.96,-66.081,-543.997,1163.73,268.601
3.7,186.863,-604.041,99.963,330.828,-1253.053,607.694,-636.734,1184.86,-66.561,-509.956,1139.91,278.866
3.71,189.939,-596.515,96.58,336.965,-1190.711,610.192,-587.111,1173.94,-66.487,-477.138,1116.58,290.509
