Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
32.84,296.167,376.827,643.626,161.515,-217.023,107.322,-225.324,1040.89,270.502,17.176,862.008,-80.196
32.85,302.213,295.737,645.586,162.993,-231.41,101.78,-262.509,1010.23,286.296,-69.656,854.362,-75.74
32.86,308.33,215.75,644.176,164.938,-241.842,97.861,-297.42,982.576,303.178,-157.638,850.663,-69.786
32.87,314.356,137.579,639.66,167.105,-248.929,95.564,-330.333,958.931,320.47,-245.954,851.553,-62.208
32.88,320.125,61.739,632.286,169.212,-253.365,94.736,-361.662,940.136,337.467,-333.679,857.505,-52.962
32.89,325.468,-11.522,622.267,171.0,-255.922,95.164,-391.926,926.752,353.514,-419.832,868.751,-42.099
32.9,330.213,-82.263,609.776,172.263,-257.419,96.686,-421.691,919.016,368.066,-503.444,885.236,-29.757
32.91,334.191,-150.848,594.96,172.865,-258.684,99.263,-451.521,916.833,380.739,-583.644,906.597,-16.149
32.92,337.229,-217.901,577.969,172.737,-260.516,103.018,-481.922,919.791,391.33,-659.734,932.179,-1.54
32.93,339.167,-284.222,558.986,171.856,-263.63,108.222,-513.302,927.226,399.807,-731.247,961.083,13.774
32.94,339.869,-350.679,538.246,170.235,-268.615,115.252,-545.962,938.302,406.284,-797.985,992.243,29.492
32.95,339.242,-418.107,516.047,167.909,-275.89,124.523,-580.078,952.089,410.981,-860.012,1024.53,45.331
32.96,337.254,-487.211,492.738,164.932,-285.679,136.436,-615.727,967.655,414.172,-917.626,1056.82,61.036
32.97,333.94,-558.512,468.701,161.378,-298.008,151.324,-652.898,984.134,416.156,-971.306,1088.13,76.394
32.98,329.404,-632.32,444.33,157.337,-312.74,169.428,-691.524,1000.77,417.216,-1021.64,1117.54,91.23
32.99,323.806,-708.734,420.012,152.915,-329.646,190.873,-731.505,1016.95,417.602,-1069.29,1144.37,105.407
33.0,317.346,-787.669,396.118,148.222,-348.49,215.664,-772.738,1032.2,417.526,-1114.93,1168.05,118.824
33.01,310.251,-868.886,373.002,143.368,-369.117,243.681,-815.124,1046.19,417.157,-1159.18,1188.16,131.405
33.02,302.755,-952.022,351.005,138.453,-391.515,274.687,-858.584,1058.69,416.626,-1202.63,1204.43,143.105
33.03,295.095,-1036.616,330.454,133.563,-415.829,308.334,-903.059,1069.6,416.029,-1245.78,1216.67,153.889
33.04,287.5,-1122.12,311.653,128.774,-442.347,344.186,-948.509,1078.88,415.44,-1289.02,1224.82,163.744
33.05,280.184,-1207.898,294.866,124.159,-471.439,381.74,-994.906,1086.53,414.911,-1332.63,1228.87,172.648
33.06,273.339,-1293.231,280.285,119.79,-503.496,420.445,-1042.24,1092.62,414.483,-1376.78,1228.96,180.577
33.07,267.127,-1377.321,267.989,115.748,-538.866,459.723,-1090.48,1097.26,414.18,-1421.54,1225.27,187.488
33.08,261.675,-1459.31,257.907,112.12,-577.813,498.978,-1139.64,1100.55,414.025,-1466.87,1218.06,193.315
33.09,257.066,-1538.324,249.793,108.994,-620.494,537.608,-1189.74,1102.62,414.029,-1512.68,1207.68,197.978
33.1,253.339,-1613.515,243.219,106.448,-666.961,575.016,-1240.78,1103.58,414.201,-1558.84,1194.49,201.368
33.11,250.487,-1684.13,237.603,104.527,-717.172,610.62,-1292.8,1103.51,414.539,-1605.2,1178.87,203.362
33.12,248.456,-1749.559,232.266,103.236,-771.014,643.867,-1345.86,1102.53,415.034,-1651.59,1161.24,203.828
33.13,247.144,-1809.378,226.529,102.522,-828.318,674.251,-1400.02,1100.68,415.663,-1697.84,1141.98,202.616
33.14,246.403,-1863.366,219.819,102.279,-888.879,701.333,-1455.35,1098.08,416.389,-1743.75,1121.49,199.597
33.15,246.038,-1911.499,211.778,102.351,-952.462,724.751,-1511.94,1094.81,417.163,-1789.13,1100.17,194.655
33.16,245.815,-1953.913,202.347,102.553,-1018.794,744.236,-1569.84,1091.01,417.921,-1833.78,1078.39,187.72
33.17,245.482,-1990.859,191.794,102.696,-1087.559,759.621,-1629.12,1086.87,418.591,-1877.47,1056.6,178.779
33.18,244.796,-2022.648,180.682,102.606,-1158.383,770.846,-1689.82,1082.65,419.086,-1920.05,1035.2,167.891
33.19,243.564,-2049.602,169.763,102.143,-1230.819,777.957,-1751.93,1078.68,419.317,-1961.33,1014.67,155.176
33.2,241.685,-2072.032,159.83,101.217,-1304.342,781.093,-1815.39,1075.36,419.185,-2001.17,995.483,140.82
33.21,239.179,-2090.236,151.558,99.786,-1378.356,780.468,-1880.12,1073.16,418.586,-2039.48,978.158,125.062
33.22,236.19,-2104.521,145.372,97.861,-1452.214,776.345,-1945.9,1072.62,417.417,-2076.23,963.2,108.191
33.23,232.957,-2115.248,141.385,95.494,-1525.264,769.003,-2012.44,1074.24,415.58,-2111.43,951.103,90.536
