Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
24.32,109.78,-743.946,555.12,285.236,126.218,110.759,265.344,1049.33,27.65,-160.204,953.161,513.143
24.33,108.263,-672.4,562.396,281.334,144.396,107.34,295.361,1018.21,14.411,-95.602,946.0,521.074
24.34,106.231,-598.65,565.509,277.581,157.587,105.466,322.165,988.452,-0.14,-29.493,939.446,528.811
24.35,103.756,-523.314,564.635,274.098,166.927,105.002,345.907,961.011,-15.566,37.988,933.929,536.014
24.36,100.936,-446.953,560.032,270.991,173.432,105.708,366.903,936.748,-31.34,106.664,929.909,542.343
24.37,97.882,-370.045,552.005,268.327,177.95,107.302,385.637,916.403,-46.884,176.309,927.85,547.487
24.38,94.709,-292.958,540.877,266.137,181.171,109.542,402.739,900.532,-61.624,246.636,928.163,551.201
24.39,91.531,-215.939,526.967,264.434,183.649,112.286,418.921,889.448,-75.047,317.301,931.152,553.317
24.4,88.455,-139.099,510.567,263.236,185.85,115.517,434.913,883.205,-86.76,387.927,936.964,553.754
24.41,85.572,-62.41,491.937,262.59,188.181,119.322,451.398,881.603,-96.522,458.121,945.554,552.517
24.42,82.947,14.289,471.303,262.578,191.02,123.849,468.941,884.225,-104.251,527.524,956.69,549.681
24.43,80.617,91.281,448.869,263.315,194.736,129.257,487.966,890.501,-110.012,595.835,969.975,545.38
24.44,78.58,168.938,424.836,264.923,199.692,135.674,508.744,899.775,-113.983,662.842,984.9,539.78
24.45,76.808,247.689,399.419,267.505,206.233,143.191,531.416,911.369,-116.411,728.435,1000.91,533.073
24.46,75.257,327.97,372.868,271.103,214.672,151.871,556.024,924.628,-117.577,792.595,1017.43,525.445
24.47,73.891,410.175,345.484,275.674,225.257,161.789,582.547,938.948,-117.759,855.393,1033.96,517.079
24.48,72.696,494.611,317.626,281.08,238.145,173.079,610.942,953.782,-117.217,916.952,1050.05,508.138
24.49,71.694,581.453,289.723,287.095,253.381,185.962,641.157,968.636,-116.182,977.423,1065.33,498.762
24.5,70.943,670.705,262.267,293.424,270.898,200.756,673.145,983.051,-114.857,1036.95,1079.49,489.076
24.51,70.527,762.165,235.799,299.731,290.545,217.845,706.87,996.596,-113.42,1095.64,1092.26,479.193
24.52,70.536,855.405,210.879,305.679,312.156,237.621,742.307,1008.86,-112.026,1153.58,1103.4,469.215
24.53,71.037,949.759,188.041,310.961,335.641,260.404,779.446,1019.44,-110.815,1210.78,1112.69,459.252
24.54,72.053,1044.338,167.741,315.341,361.073,286.374,818.3,1027.99,-109.9,1267.19,1119.87,449.427
24.55,73.548,1138.057,150.297,318.667,388.756,315.506,858.918,1034.19,-109.372,1322.77,1124.73,439.87
24.56,75.433,1229.699,135.839,320.885,419.219,347.545,901.395,1037.81,-109.292,1377.42,1127.06,430.725
24.57,77.575,1317.984,124.28,322.022,453.164,381.993,945.879,1038.7,-109.687,1431.01,1126.68,422.143
24.58,79.829,1401.664,115.318,322.168,491.361,418.128,992.56,1036.83,-110.551,1483.4,1123.46,414.276
24.59,82.059,1479.609,108.465,321.454,534.528,455.031,1041.66,1032.28,-111.851,1534.43,1117.37,407.269
24.6,84.16,1550.873,103.131,320.039,583.21,491.643,1093.4,1025.2,-113.534,1583.97,1108.44,401.255
24.61,86.075,1614.752,98.726,318.094,637.688,526.835,1147.96,1015.89,-115.529,1631.84,1096.78,396.347
24.62,87.797,1670.796,94.765,315.801,697.929,559.486,1205.48,1004.67,-117.756,1677.93,1082.6,392.639
24.63,89.365,1718.817,90.957,313.345,763.578,588.578,1266.04,991.935,-120.122,1722.1,1066.18,390.186
24.64,90.854,1758.88,87.237,310.904,833.998,613.266,1329.58,978.133,-122.517,1764.25,1047.9,389.012
24.65,92.352,1791.299,83.732,308.635,908.334,632.932,1396.02,963.752,-124.81,1804.32,1028.2,389.097
24.66,93.936,1816.627,80.682,306.663,985.598,647.207,1465.19,949.334,-126.84,1842.3,1007.63,390.376
24.67,95.646,1835.641,78.331,305.066,1064.747,655.965,1536.88,935.471,-128.414,1878.21,986.75,392.739
24.68,97.485,1849.291,76.84,303.875,1144.767,659.302,1610.83,922.803,-129.306,1912.15,966.238,396.023
24.69,99.42,1858.627,76.242,303.073,1224.743,657.487,1686.71,912.004,-129.282,1944.28,946.755,400.024
24.7,101.392,1864.702,76.463,302.603,1303.924,650.905,1764.15,903.749,-128.111,1974.8,928.945,404.498
24.71,103.331,1868.487,77.374,302.382,1381.771,640.001,1842.68,898.675,-125.605,2003.99,913.371,409.189
