Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
9.69,65.14,-1421.133,466.522,240.526,-526.927,120.603,-465.088,1074.09,81.44,-1025.66,926.456,470.596
9.7,66.532,-1353.46,486.451,239.054,-504.624,114.945,-434.208,1045.08,66.813,-945.528,904.268,478.673
9.71,67.629,-1281.737,502.747,237.608,-488.168,110.085,-405.908,1015.44,49.073,-861.468,882.23,487.14
9.72,68.399,-1206.426,514.945,236.237,-476.626,106.107,-380.346,986.507,28.611,-773.851,861.482,495.714
9.73,68.84,-1128.036,522.713,234.993,-469.072,103.066,-357.545,959.597,5.946,-683.155,843.147,504.074
9.74,68.993,-1047.065,525.864,233.921,-464.617,100.985,-337.381,935.883,-18.291,-589.974,828.286,511.873
9.75,68.933,-963.964,524.351,233.064,-462.441,99.858,-319.566,916.353,-43.391,-495.005,817.829,518.764
9.76,68.764,-879.089,518.263,232.456,-461.798,99.66,-303.658,901.749,-68.608,-399.034,812.521,524.41
9.77,68.615,-792.677,507.806,232.132,-462.02,100.373,-289.085,892.527,-93.208,-302.908,812.876,528.519
9.78,68.628,-704.831,493.3,232.126,-462.508,102.005,-275.186,888.839,-116.523,-207.505,819.145,530.856
9.79,68.943,-615.529,475.156,232.478,-462.716,104.604,-261.26,890.537,-137.995,-113.687,831.288,531.259
9.8,69.691,-524.651,453.865,233.237,-462.143,108.267,-246.617,897.194,-157.205,-22.267,848.982,529.667
9.81,70.981,-432.025,429.986,234.455,-460.329,113.138,-230.614,908.145,-173.887,66.038,871.632,526.108
9.82,72.898,-337.485,404.13,236.186,-456.841,119.4,-212.696,922.542,-187.931,150.637,898.402,520.716
9.83,75.495,-240.938,376.947,238.479,-451.287,127.257,-192.406,939.413,-199.358,231.089,928.258,513.713
9.84,78.798,-142.426,349.1,241.365,-443.312,136.917,-169.392,957.719,-208.302,307.12,960.021,505.398
9.85,82.805,-42.184,321.248,244.853,-432.605,148.567,-143.408,976.414,-214.964,378.626,992.425,496.123
9.86,87.497,59.317,294.013,248.919,-418.902,162.353,-114.287,994.502,-219.59,445.657,1024.17,486.271
9.87,92.835,161.358,267.956,253.504,-401.983,178.36,-81.934,1011.07,-222.434,508.404,1053.98,476.232
9.88,98.771,262.982,243.542,258.515,-381.663,196.597,-46.292,1025.34,-223.734,567.168,1080.69,466.386
9.89,105.248,363.025,221.118,263.833,-357.78,216.978,-7.328,1036.66,-223.697,622.322,1103.25,457.077
9.9,112.197,460.192,200.897,269.326,-330.18,239.312,34.989,1044.58,-222.49,674.263,1120.77,448.608
9.91,119.54,553.134,182.957,274.861,-298.707,263.297,80.698,1048.75,-220.246,723.383,1132.63,441.225
9.92,127.184,640.548,167.247,280.322,-263.196,288.517,129.855,1049.06,-217.062,770.008,1138.39,435.124
9.93,135.021,721.275,153.611,285.622,-223.477,314.453,182.535,1045.51,-213.009,814.382,1137.92,430.442
9.94,142.93,794.385,141.831,290.713,-179.39,340.492,238.822,1038.26,-208.139,856.636,1131.31,427.268
9.95,150.774,859.239,131.656,295.587,-130.801,365.957,298.8,1027.64,-202.489,896.788,1118.88,425.647
9.96,158.411,915.529,122.849,300.277,-77.628,390.133,362.547,1014.08,-196.084,934.752,1101.22,425.582
9.97,165.695,963.275,115.209,304.843,-19.864,412.305,430.106,998.143,-188.931,970.364,1079.06,427.043
9.98,172.492,1002.8,108.593,309.368,42.412,431.797,501.477,980.506,-181.023,1003.41,1053.3,429.959
9.99,178.685,1034.679,102.915,313.934,109.027,448.005,576.599,961.921,-172.332,1033.66,1024.96,434.224
10.0,184.181,1059.67,98.134,318.615,179.723,460.43,655.325,943.22,-162.812,1060.93,995.116,439.686
10.01,188.922,1078.643,94.237,323.462,254.173,468.698,737.412,925.28,-152.396,1085.09,964.892,446.153
10.02,192.884,1092.515,91.216,328.491,332.011,472.578,822.501,908.991,-141.006,1106.12,935.389,453.385
10.03,196.079,1102.194,89.06,333.681,412.861,471.982,910.113,895.225,-128.563,1124.14,907.664,461.108
10.04,198.549,1108.542,87.742,338.976,496.373,466.966,999.648,884.789,-114.998,1139.39,882.679,469.015
10.05,200.359,1112.354,87.23,344.286,582.252,457.72,1090.37,878.381,-100.262,1152.29,861.256,476.786
10.06,201.589,1114.355,87.493,349.499,670.276,444.552,1181.48,876.542,-84.351,1163.41,844.042,484.113
10.07,202.321,1115.205,88.523,354.492,760.311,427.872,1272.09,879.625,-67.305,1173.39,831.478,490.71
10.08,202.632,1115.517,90.339,359.145,852.303,408.176,1361.33,887.763,-49.224,1182.96,823.777,496.356
