Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
7.115,144.12849999999997,-1576.033,155.159,272.398,-736.922,99.1155,-764.95,970.348,-69.14750000000001,-1213.83,823.951,568.177
7.135,140.42000000000002,-1550.8719999999998,172.118,270.6485,-726.274,94.9,-736.185,967.7149999999999,-71.6165,-1173.9650000000001,819.915,562.6569999999999
7.155,136.6705,-1517.6635,191.435,270.0185,-718.2565,92.3505,-711.015,962.417,-73.88,-1130.1399999999999,816.639,555.9855
7.175,132.8555,-1476.1219999999998,212.185,269.779,-712.3025,91.3425,-689.3085,954.604,-75.8515,-1082.4699999999998,814.3865000000001,548.4314999999999
7.195,128.9605,-1426.6515,232.88549999999998,269.422,-708.143,91.4185,-670.9545,944.6115,-77.4965,-1031.185,813.5,540.241
7.215,124.9755,-1370.1779999999999,251.6995,268.78099999999995,-705.5155,92.0685,-655.8765,932.9704999999999,-78.8475,-976.6285,814.358,531.5805
7.235,120.8785,-1307.8925,266.781,267.9715,-704.0605,92.9145,-643.9929999999999,920.3910000000001,-79.99549999999999,-919.256,817.3135,522.5165
7.255,116.62299999999999,-1240.998,276.6395,267.22749999999996,-703.376,93.7595,-635.168,907.701,-81.07,-859.6315,822.6125,513.0325
7.275,112.17150000000001,-1170.5140000000001,280.384,266.73699999999997,-703.1030000000001,94.54650000000001,-629.123,895.7445,-82.1985,-798.3865000000001,830.331,503.0615
7.295,107.5255,-1097.157,277.7765,266.5505,-702.9915000000001,95.28049999999999,-625.3755000000001,885.2394999999999,-83.4795,-736.162,840.3465000000001,492.5395
7.3149999999999995,102.7385,-1021.2665,269.1245,266.5675,-702.8995,95.9665,-623.232,876.6405,-84.967,-673.568,852.3615,481.43449999999996
7.335,97.89,-942.8109999999999,255.112,266.598,-702.7665,96.58699999999999,-621.8515,870.0540000000001,-86.6745,-611.1410000000001,865.9575,469.781
7.355,93.049,-861.4575,236.675,266.4595,-702.573,97.116,-620.3685,865.2294999999999,-88.582,-549.3235,880.6725,457.68600000000004
