Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
5.545,108.339,-2647.4979999999996,177.57999999999998,343.3745,-1736.384,123.7225,-1844.7649999999999,930.922,-57.2725,-2119.5299999999997,776.9105,485.1155
5.5649999999999995,102.8755,-2625.643,194.7955,342.092,-1716.9835,118.104,-1819.37,911.4835,-55.0145,-2081.185,773.961,486.644
5.585,96.2705,-2595.8235,214.60199999999998,342.326,-1701.3395,115.037,-1798.19,891.078,-53.2065,-2042.75,773.6949999999999,488.6815
5.605,89.2615,-2556.8095000000003,236.11649999999997,343.48850000000004,-1690.231,113.559,-1781.505,871.0025,-51.788,-2003.9850000000001,776.137,491.21799999999996
5.625,82.9,-2508.3329999999996,257.7795,344.885,-1683.373,112.8745,-1769.2,852.6925,-50.5945,-1964.625,781.0665,494.198
5.645,78.08699999999999,-2451.1675,277.6565,346.027,-1679.5665,112.601,-1760.59,837.52,-49.3745,-1924.505,788.0985000000001,497.538
5.665,75.143,-2386.7380000000003,293.852,346.748,-1677.5905,112.59549999999999,-1754.4,826.58,-47.873,-1883.6599999999999,796.788,501.1335
5.6850000000000005,73.85749999999999,-2316.6440000000002,305.006,347.17100000000005,-1676.6545,112.7785,-1748.955,820.482,-45.906000000000006,-1842.275,806.6990000000001,504.8815
5.705,73.8605,-2242.3495000000003,310.639,347.53700000000003,-1676.316,113.0565,-1742.595,819.1665,-43.3875,-1800.56,817.4055000000001,508.678
5.725,74.951,-2165.041,311.03049999999996,347.98,-1676.2795,113.32300000000001,-1734.085,821.8315,-40.337500000000006,-1758.71,828.4555,512.451
5.745,77.187,-2085.5775,306.8155,348.4705,-1676.328,113.513,-1722.8400000000001,827.1320000000001,-36.9,-1716.845,839.3365,516.1495
5.765,80.7535,-2004.464,298.686,348.9255,-1676.326,113.637,-1708.995,833.604,-33.325500000000005,-1675.025,849.5055,519.717
5.785,85.761,-1921.8315,287.2605,349.2915,-1676.2305000000001,113.7405,-1693.01,840.0615,-29.9135,-1633.2150000000001,858.462,523.0835
5.805,92.122,-1837.4935,273.0665,349.505,-1676.057,113.8545,-1675.4,845.7494999999999,-26.941000000000003,-1591.335,865.8295,526.19
5.825,99.5235,-1751.0955,256.6,349.4765,-1675.813,113.9845,-1656.54,850.236,-24.613500000000002,-1549.3249999999998,871.385,528.9905
5.845,107.48349999999999,-1662.3085,238.4385,349.1725,-1675.471,114.13550000000001,-1636.6599999999999,853.269,-23.017,-1507.205,875.037,531.399
5.865,115.45500000000001,-1570.97,219.3255,348.66949999999997,-1674.9905,114.3255,-1615.85,854.6545,-22.0895,-1465.06,876.7695000000001,533.3065
5.885,122.87549999999999,-1477.165,200.172,348.0775,-1674.346,114.5765,-1594.115,854.206,-21.6425,-1423.0149999999999,876.6185,534.692
5.905,129.11599999999999,-1381.232,182.0395,347.427,-1673.525,114.904,-1571.385,851.7515000000001,-21.457,-1381.195,874.6904999999999,535.655
5.925,133.45850000000002,-1283.773,166.137,346.644,-1672.526,115.36,-1547.5300000000002,847.221,-21.366500000000002,-1339.74,871.173,536.2735
5.945,135.22199999999998,-1185.7469999999998,153.7705,345.5595,-1671.362,116.083,-1522.3600000000001,840.682,-21.282,-1298.755,866.3395,536.498
5.965,134.077,-1088.652,146.07049999999998,344.007,-1670.035,117.3535,-1495.75,832.352,-21.215,-1258.35,860.51,536.243
5.985,130.409,-994.74,143.4185,342.005,-1668.475,119.6005,-1467.5949999999998,822.572,-21.317,-1218.555,853.981,535.5385
6.005,125.4085,-907.0955,144.7825,339.8445,-1666.4725,123.32,-1437.795,811.8245,-21.862000000000002,-1179.46,846.994,534.4825
6.025,120.654,-829.3105,147.5445,337.95849999999996,-1663.626,128.915,-1406.1799999999998,800.7505000000001,-23.163,-1141.245,839.7325,533.0995
6.045,117.467,-764.6085,148.3185,336.741,-1659.3395,136.6015,-1372.505,790.0795,-25.436999999999998,-1104.1399999999999,832.37,531.31
