Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
6.325,63.016,-1934.966,187.63,266.53499999999997,-1193.4355,119.097,-1317.63,913.59,-91.245,-1539.1100000000001,823.414,410.8835
6.345,60.501999999999995,-1910.9765000000002,203.042,264.684,-1182.718,114.941,-1290.72,908.421,-90.445,-1503.37,820.2339999999999,412.42949999999996
6.365,58.0775,-1879.212,220.798,263.7445,-1175.2289999999998,112.456,-1266.13,903.6875,-89.7615,-1465.895,818.7065,414.30899999999997
6.385,55.915499999999994,-1839.3229999999999,239.878,263.241,-1170.2365,111.4125,-1243.6799999999998,899.751,-89.161,-1426.595,818.9205,416.5145
6.405,54.141,-1791.804,258.8005,262.807,-1167.2045,111.30449999999999,-1223.085,896.885,-88.57300000000001,-1385.41,820.883,419.0495
6.425,52.788,-1737.7675,275.83500000000004,262.29200000000003,-1165.5729999999999,111.6465,-1203.9299999999998,895.2505,-87.92949999999999,-1342.385,824.554,421.9145
6.445,51.791,-1678.5505,289.264,261.6895,-1164.731,112.1045,-1185.805,894.8835,-87.202,-1297.705,829.85,425.0775
6.465,51.025499999999994,-1615.374,297.67449999999997,261.04449999999997,-1164.1555,112.52000000000001,-1168.325,895.6824999999999,-86.4205,-1251.655,836.635,428.424
6.485,50.349999999999994,-1549.158,300.197,260.42,-1163.569,112.899,-1151.1399999999999,897.399,-85.643,-1204.565,844.672,431.74699999999996
6.505,49.6175,-1480.472,296.58500000000004,259.9045,-1162.9615,113.36,-1133.97,899.639,-84.9195,-1156.72,853.6020000000001,434.79949999999997
6.525,48.662499999999994,-1409.5395,287.1385,259.58450000000005,-1162.4515000000001,114.0385,-1116.54,901.8945,-84.2635,-1108.315,862.9775,437.3625
6.545,47.303,-1336.267,272.5335,259.49,-1162.1100000000001,115.0,-1098.635,903.6245,-83.6585,-1059.505,872.3405,439.3085
6.5649999999999995,45.3775,-1260.2930000000001,253.6895,259.56,-1161.872,116.20400000000001,-1080.125,904.355,-83.0835,-1010.44,881.2965,440.6195
6.585,42.7775,-1181.1045,231.738,259.6685,-1161.57,117.54599999999999,-1060.8899999999999,903.7470000000001,-82.53049999999999,-961.3165,889.5585,441.363
6.605,39.4735,-1098.23,208.09050000000002,259.7015,-1161.045,118.93,-1040.8899999999999,901.6455,-82.009,-912.4295,896.94,441.6625
6.625,35.539,-1011.5169999999999,184.50400000000002,259.639,-1160.231,120.326,-1020.07,898.0435,-81.536,-864.083,903.3245,441.6565
6.645,31.211,-921.4465,162.98700000000002,259.561,-1159.151,121.7795,-998.3985,893.0545,-81.132,-816.5515,908.637,441.4655
6.665,26.9565,-829.443,145.47050000000002,259.57849999999996,-1157.8445000000002,123.3855,-975.78,886.8475,-80.81700000000001,-770.0435,912.816,441.16650000000004
6.6850000000000005,23.469,-738.0575,133.26049999999998,259.76149999999996,-1156.2825,125.256,-952.1055,879.6295,-80.6165,-724.713,915.8145,440.77700000000004
6.705,21.5315,-650.8530000000001,126.5155,260.121,-1154.3235,127.5215,-927.258,871.6485,-80.56649999999999,-680.709,917.6115,440.28200000000004
6.725,21.7735,-571.858,124.0455,260.654,-1151.7199999999998,130.35399999999998,-901.141,863.2045,-80.714,-638.2245,918.231,439.683
6.745,24.432000000000002,-504.611,123.6765,261.3935,-1148.1460000000002,134.0045,-873.6975,854.6610000000001,-81.11500000000001,-597.54,917.7565,439.04049999999995
6.765,29.195999999999998,-451.133,123.1225,262.423,-1143.175,138.8265,-844.895,846.424,-81.81649999999999,-559.0025,916.321,438.46950000000004
6.785,35.221000000000004,-411.29499999999996,120.936,263.82500000000005,-1136.1909999999998,145.248,-814.7105,838.9035,-82.8435,-522.9635000000001,914.0965,438.067
6.805,41.3315,-382.9925,116.9925,265.60450000000003,-1126.254,153.7015,-783.1134999999999,832.471,-84.19,-489.70500000000004,911.2629999999999,437.835
6.825,46.402,-363.12850000000003,112.2205,267.6645,-1112.058,164.523,-750.0654999999999,827.4255,-85.8235,-459.39300000000003,907.9929999999999,437.6595
6.845,49.744,-348.8665,107.8415,269.845,-1092.1095,177.846,-715.5219999999999,823.9755,-87.696,-432.06,904.443,437.3505
6.865,51.3125,-338.4095,104.68,271.954,-1065.0835,193.48250000000002,-679.441,822.23,-89.763,-407.613,900.7705000000001,436.70500000000004
6.885,51.585499999999996,-330.959,102.938,273.7735,-1030.222,210.834,-641.7850000000001,822.2065,-91.9885,-385.8295,897.134,435.5675
6.905,51.244,-326.161,102.3615,275.079,-987.5615,228.8835,-602.5545,823.8515,-94.35300000000001,-366.36800000000005,893.707,433.865
6.925,50.8535,-323.579,102.5195,275.6965,-937.8489999999999,246.25900000000001,-561.8225,827.0799999999999,-96.85300000000001,-348.8135,890.6735000000001,431.62699999999995
6.945,50.709500000000006,-322.528,103.0065,275.573,-882.2070000000001,261.368,-519.7685,831.7975,-99.4835,-332.7395,888.22,428.97950000000003
6.965,50.8405,-322.26300000000003,103.547,274.808,-821.7719999999999,272.61199999999997,-476.6535,837.8820000000001,-102.2125,-317.7655,886.496,426.12
6.985,51.116,-322.2325,104.0215,273.619,-757.5105,278.6935,-432.7565,845.1510000000001,-104.945,-303.56,885.55,423.2645
7.005,51.396,-322.17650000000003,104.43950000000001,272.26,-690.1595,278.88149999999996,-388.29600000000005,853.309,-107.51650000000001,-289.8185,885.268,420.58799999999997
7.025,51.6265,-322.0345,104.86850000000001,270.9375,-620.2005,273.0965,-343.3885,861.952,-109.711,-276.2335,885.3544999999999,418.173
7.045,51.8405,-321.8145,105.3685,269.7835,-547.821,261.80449999999996,-298.0745,870.6165000000001,-111.314,-262.49,885.374,416.01099999999997
7.0649999999999995,52.101,-321.511,105.95949999999999,268.88599999999997,-472.9155,245.83800000000002,-252.371,878.858,-112.1675,-248.2985,884.8445,414.043
7.085,52.4595,-321.08349999999996,106.6265,268.336,-395.155,226.26049999999998,-206.33100000000002,886.318,-112.213,-233.4205,883.3534999999999,412.2135
7.105,52.943,-320.48699999999997,107.3485,268.256,-314.122,204.356,-160.07999999999998,892.7485,-111.497,-217.68400000000003,880.6175000000001,410.5025
