Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
4.195,105.3085,-1681.1295,169.506,326.277,-1022.5745,109.74600000000001,-942.509,904.0585,-109.7565,-1317.91,754.1685,611.0319999999999
4.215,103.00899999999999,-1664.768,180.118,323.951,-1011.914,103.9565,-918.2675,897.8775,-103.45,-1294.0149999999999,749.8085000000001,612.933
4.235,100.89150000000001,-1642.627,192.67849999999999,322.249,-1003.5385,100.262,-897.0535,890.7705,-98.172,-1266.185,745.8409999999999,613.6500000000001
4.255,99.1985,-1614.0695,206.9405,321.1195,-997.0805,98.696,-878.7175,883.053,-93.96000000000001,-1234.275,742.3585,613.2005
4.275,98.104,-1579.1425,222.274,320.3795,-992.481,98.654,-862.9694999999999,875.12,-90.85650000000001,-1198.31,739.463,611.6215
4.295,97.687,-1538.5175,237.63400000000001,319.836,-989.5409999999999,99.34700000000001,-849.4235,867.423,-88.93700000000001,-1158.4850000000001,737.2705000000001,608.934
4.3149999999999995,97.946,-1493.188,251.6395,319.36400000000003,-987.8345,100.1635,-837.683,860.408,-88.32300000000001,-1115.18,735.931,605.1179999999999
4.335,98.798,-1444.129,262.7825,318.918,-986.8555,100.8145,-827.4035,854.442,-89.15299999999999,-1068.9499999999998,735.62,600.1105
4.355,100.0665,-1392.0845,269.7235,318.49649999999997,-986.1800000000001,101.289,-818.3275,849.7325000000001,-91.5385,-1020.46,736.524,593.8275
4.375,101.512,-1337.524,271.5485,318.0905,-985.5485,101.71600000000001,-810.263,846.3075,-95.527,-970.4155000000001,738.79,586.1915
4.395,102.8945,-1280.6754999999998,267.916,317.6555,-984.8565,102.2185,-803.043,844.0335,-101.0885,-919.489,742.4645,577.1725
4.415,104.0335,-1221.5695,259.05449999999996,317.13,-984.0925,102.838,-796.505,842.6775,-108.114,-868.276,747.4585,566.818
4.4350000000000005,104.811,-1160.0895,245.664,316.488,-983.2755,103.5445,-790.479,841.969,-116.414,-817.274,753.547,555.2715000000001
4.455,105.108,-1096.06,228.79399999999998,315.7695,-982.4145,104.29650000000001,-784.8105,841.637,-125.703,-766.8755,760.4124999999999,542.7595
4.475,104.7485,-1029.372,209.7165,315.06,-981.4945,105.082,-779.3725,841.4295,-135.615,-717.373,767.6955,529.576
4.495,103.50450000000001,-960.1075000000001,189.8115,314.43449999999996,-980.4865,105.925,-774.069,841.11,-145.74849999999998,-668.9695,775.046,516.0799999999999
4.515,101.202,-888.6215,170.449,313.9085,-979.3605,106.868,-768.8140000000001,840.468,-155.7345,-621.799,782.1505,502.679
4.535,97.85650000000001,-815.579,152.882,313.444,-978.0965,107.9615,-763.5025,839.3245,-165.29500000000002,-575.9445000000001,788.745,489.76599999999996
4.555,93.753,-741.961,138.1375,312.995,-976.6800000000001,109.257,-757.9915000000001,837.566,-174.2645,-531.4665,794.619,477.64250000000004
4.575,89.41399999999999,-669.077,126.892,312.56600000000003,-975.097,110.8135,-752.088,835.149,-182.563,-488.4205,799.6245,466.47249999999997
4.595,85.4885,-598.5654999999999,119.32900000000001,312.23900000000003,-973.321,112.712,-745.5355,832.114,-190.163,-446.879,803.6855,456.3125
4.615,82.59800000000001,-532.3520000000001,115.01,312.154,-971.3054999999999,115.0695,-738.0185,828.5615,-197.0565,-406.947,806.784,447.187
4.635,81.1905,-472.5145,112.88499999999999,312.45349999999996,-968.9675,118.033,-729.1595,824.6275,-203.2585,-368.7675,808.9314999999999,439.163
4.655,81.41050000000001,-420.9995,111.544,313.22400000000005,-966.176,121.78,-718.5364999999999,820.4594999999999,-208.813,-332.51649999999995,810.136,432.38250000000005
4.675,83.077,-379.17949999999996,109.6825,314.46799999999996,-962.7045,126.511,-705.6980000000001,816.1890000000001,-213.8,-298.38750000000005,810.3725,427.0315
4.695,85.77,-347.377,106.5955,316.1195,-958.1579999999999,132.454,-690.2085,811.933,-218.3005,-266.5785,809.5865,423.2815
4.715,88.98349999999999,-324.656,102.418,318.105,-951.8755,139.86849999999998,-671.6800000000001,807.8085,-222.3505,-237.296,807.733,421.22950000000003
4.735,92.2415,-309.102,97.9465,320.39599999999996,-942.8805,149.02100000000002,-649.8050000000001,803.9580000000001,-225.91500000000002,-210.75850000000003,804.8444999999999,420.88300000000004
4.755,95.1595,-298.5285,94.152,323.017,-929.9490000000001,160.14100000000002,-624.365,800.5675,-228.897,-187.19400000000002,801.078,422.1565
4.775,97.49,-291.1575,91.6825,325.9805,-911.8605,173.35,-595.2280000000001,797.837,-231.191,-166.7895,796.716,424.88300000000004
4.795,99.169,-285.8855,90.6345,329.177,-887.749,188.582,-562.354,795.9304999999999,-232.74650000000003,-149.594,792.1005,428.8295
4.8149999999999995,100.2975,-282.1055,90.672,332.2975,-857.3789999999999,205.49450000000002,-525.8105,794.9075,-233.603,-135.416,787.5575,433.713
4.835,101.056,-279.4235,91.32,334.85749999999996,-821.182,223.3785,-485.79499999999996,794.7245,-233.86,-123.80250000000001,783.3435,439.242
4.855,101.592,-277.495,92.227,336.34950000000003,-780.01,241.1205,-442.638,795.2945,-233.59050000000002,-114.138,779.6315,445.16949999999997
4.875,101.9655,-276.0135,93.2585,336.476,-734.7874999999999,257.2745,-396.79200000000003,796.5745,-232.7695,-105.8115,776.5274999999999,451.34000000000003
4.895,102.20150000000001,-274.733,94.428,335.3075,-686.2665,270.28049999999996,-348.786,798.6155,-231.266,-98.356,774.0844999999999,457.693
4.915,102.376,-273.48400000000004,95.78399999999999,333.26300000000003,-634.972,278.7545,-299.1875,801.5264999999999,-228.88400000000001,-91.506,772.3095000000001,464.25149999999996
4.9350000000000005,102.636,-272.1615,97.3305,330.9165,-581.2435,281.7355,-248.5575,805.3895,-225.4235,-85.149,771.157,471.0815
4.955,103.1175,-270.7205,99.0155,328.7555,-525.2635,278.8125,-197.438,810.173,-220.73250000000002,-79.2445,770.528,478.244
4.975,103.86,-269.166,100.755,327.023,-467.058,270.12,-146.336,815.7065,-214.751,-73.7425,770.285,485.756
