Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
7.455,148.962,-2771.2425000000003,207.514,285.9755,-2096.322,148.3375,-2037.88,894.5905,-3.137,-2566.09,733.2760000000001,472.847
7.475,145.564,-2750.9475,220.5005,285.0105,-2082.017,143.696,-2006.465,896.192,-2.44,-2534.58,731.17,471.4275
7.495,141.105,-2722.9145,235.476,285.88149999999996,-2071.6775,141.4425,-1978.68,894.462,-2.6685,-2497.885,729.2215,469.772
7.515,136.2345,-2686.7415,251.8875,287.53,-2064.6575000000003,140.6235,-1954.405,889.4085,-3.5805,-2455.865,727.3465,468.1995
7.535,131.8885,-2643.0825000000004,268.53999999999996,289.094,-2060.0924999999997,140.32299999999998,-1933.425,881.2105,-4.9335,-2408.435,725.4359999999999,466.8365
7.555,128.725,-2592.9139999999998,283.33050000000003,290.126,-2057.422,140.174,-1915.56,870.213,-6.54,-2355.8450000000003,723.5764999999999,465.569
7.575,126.6295,-2536.7645,293.52599999999995,290.5,-2056.2035,140.1455,-1900.83,856.944,-8.397,-2298.735,722.1495,464.20550000000003
7.595,124.872,-2475.166,296.956,290.33950000000004,-2055.8419999999996,140.24450000000002,-1889.4850000000001,842.1495,-10.662500000000001,-2237.9300000000003,721.7455,462.63149999999996
7.615,122.64349999999999,-2408.88,292.90250000000003,289.9125,-2055.719,140.46249999999998,-1881.7849999999999,826.7539999999999,-13.5,-2174.215,722.954,460.82349999999997
7.635,119.457,-2338.5204999999996,281.9435,289.48749999999995,-2055.458,140.8225,-1877.72,811.6765,-16.968,-2108.3,726.164,458.7555
7.655,115.28800000000001,-2264.3075,265.4595,289.1725,-2054.9790000000003,141.37,-1876.96,797.6225,-20.994999999999997,-2040.85,731.51,456.345
7.675,110.424,-2186.154,245.21499999999997,288.85799999999995,-2054.386,142.08499999999998,-1878.87,785.0165,-25.450000000000003,-1972.475,738.9324999999999,453.48400000000004
7.695,105.2515,-2103.9365,223.11149999999998,288.3455,-2053.807,142.857,-1882.575,774.028,-30.2305,-1903.73,748.2705000000001,450.051
7.715,100.0945,-2017.807,201.08249999999998,287.51300000000003,-2053.2889999999998,143.5795,-1887.135,764.66,-35.2325,-1835.17,759.329,445.92449999999997
7.735,95.21100000000001,-1928.467,181.0745,286.327,-2052.85,144.18650000000002,-1891.565,756.7784999999999,-40.289,-1767.37,771.8810000000001,441.05899999999997
