Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
6.375,140.448,-1779.927,143.7035,359.756,-1016.1510000000001,108.55199999999999,-1035.87,1029.25,13.653500000000001,-1430.29,844.3785,571.7745
6.395,135.5635,-1760.8985,162.363,359.47450000000003,-1002.9805,103.936,-1009.13,1018.155,13.232,-1389.74,841.3955000000001,573.5685
6.415,129.44,-1734.0985,185.6045,360.2645,-993.0525,101.571,-985.5485,1004.4549999999999,11.7425,-1346.0749999999998,839.954,574.28
6.4350000000000005,122.8765,-1698.6915,211.934,361.568,-986.4175,100.87049999999999,-965.3425,988.76,9.239,-1299.63,839.922,573.8720000000001
6.455,116.946,-1654.7425,238.58749999999998,362.8625,-982.69,101.0035,-948.6205,971.8245,5.834,-1250.85,841.0835,572.398
6.475,112.5145,-1603.0115,262.1835,363.8415,-981.0139999999999,101.3655,-935.3705,954.565,1.6605,-1200.225,843.3454999999999,569.915
6.495,109.82849999999999,-1544.6135,279.6365,364.407,-980.473,101.714,-925.5305,937.9795,-3.1325,-1148.33,846.8420000000001,566.4014999999999
6.515,108.5275,-1480.795,288.8965,364.604,-980.3795,102.07,-919.03,923.0305000000001,-8.358,-1095.755,851.8534999999999,561.771
6.535,108.05199999999999,-1412.677,289.315,364.549,-980.3430000000001,102.562,-915.6804999999999,910.5429999999999,-13.793,-1042.99,858.598,555.9845
6.555,108.001,-1340.9485,281.54949999999997,364.324,-980.2135000000001,103.2755,-914.99,901.104,-19.2285,-990.4245,867.039,549.1425
6.575,108.1915,-1265.7849999999999,267.139,363.9,-979.973,104.1965,-916.0360000000001,894.9445000000001,-24.4955,-938.2515000000001,876.821,541.4325
6.595,108.55199999999999,-1187.0635,247.9795,363.173,-979.6289999999999,105.22999999999999,-917.5305,891.8245,-29.4645,-886.5025,887.358,533.0335
6.615,108.98400000000001,-1104.6335,225.9115,362.11249999999995,-979.1769999999999,106.271,-918.0775,891.0095,-34.06,-835.1034999999999,897.9775,524.1385
6.635,109.274,-1018.4680000000001,202.5455,360.8595,-978.6225,107.255,-916.5215000000001,891.3975,-38.2805,-783.9715,908.0635,514.9605
6.655,109.13499999999999,-928.6990000000001,179.32,359.6845,-978.014,108.14949999999999,-912.1635,891.7885,-42.218500000000006,-733.086,917.1445,505.6975
6.675,108.3605,-835.6814999999999,157.6895,358.84950000000003,-977.4259999999999,108.9395,-904.7455,891.1785,-46.025499999999994,-682.5355,924.944,496.5
6.695,106.94749999999999,-740.196,139.24200000000002,358.4525,-976.8905,109.6315,-894.2975,888.9359999999999,-49.86,-632.5255,931.354,487.48400000000004
6.715,105.1,-643.748,125.5495,358.3425,-976.345,110.23599999999999,-880.9745,884.8235,-53.834,-583.36,936.367,478.74199999999996
6.735,103.0955,-548.7525,117.7205,358.18899999999996,-975.6800000000001,110.7825,-864.9155000000001,878.9645,-58.0135,-535.3675000000001,940.0450000000001,470.3255
6.755,101.2105,-458.435,115.801,357.702,-974.7875,111.424,-846.1514999999999,871.7470000000001,-62.411,-488.83050000000003,942.5055,462.2305
6.775,99.879,-376.453,118.28899999999999,356.86199999999997,-973.53,112.5555,-824.5815,863.6895,-66.9625,-443.9665,943.895,454.4445
