Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
3.6950000000000003,86.9565,-2729.0365,153.0285,270.8035,-1946.3670000000002,97.69800000000001,-1897.8200000000002,1023.7850000000001,-34.391999999999996,-2426.625,840.754,480.3645
3.715,85.5425,-2701.085,173.24450000000002,268.804,-1927.159,92.90549999999999,-1859.6100000000001,1022.6,-35.8445,-2386.435,837.5995,480.51599999999996
3.7350000000000003,84.11099999999999,-2662.4719999999998,195.93349999999998,268.1835,-1915.5465,89.368,-1825.59,1018.5799999999999,-38.5955,-2340.355,834.9169999999999,480.183
3.755,82.929,-2612.656,218.5845,268.3535,-1908.9074999999998,87.555,-1795.77,1011.865,-42.5225,-2288.29,832.9884999999999,479.332
3.775,82.062,-2552.126,237.90249999999997,268.657,-1905.3555000000001,87.248,-1770.155,1002.8199999999999,-47.469,-2230.325,832.244,477.85249999999996
3.795,81.366,-2482.133,250.721,268.7305,-1903.6125,87.9085,-1748.645,992.03,-53.2495,-2166.7650000000003,833.194,475.60450000000003
3.815,80.59049999999999,-2404.249,254.95600000000002,268.56100000000004,-1902.833,89.0315,-1731.075,980.1335,-59.673,-2098.205,836.3105,472.4385
3.835,79.5255,-2319.934,250.1275,268.3025,-1902.4645,90.3135,-1717.105,967.6825,-66.553,-2025.435,841.8675000000001,468.212
3.855,78.0785,-2230.2610000000004,237.2745,268.0555,-1902.1495,91.636,-1706.175,955.033,-73.693,-1949.4099999999999,849.819,462.8325
3.875,76.2495,-2135.85,218.44850000000002,267.7805,-1901.662,92.9755,-1697.63,942.2950000000001,-80.8775,-1871.085,859.8035,456.28650000000005
3.895,74.063,-2036.969,196.125,267.352,-1900.8854999999999,94.3185,-1690.695,929.387,-87.868,-1791.375,871.2729999999999,448.664
3.915,71.53899999999999,-1933.7179999999998,172.776,266.669,-1899.812,95.6325,-1684.58,916.1455000000001,-94.4305,-1711.0500000000002,883.6675,440.13800000000003
3.935,68.7295,-1826.259,150.6635,265.7205,-1898.5395,96.868,-1678.545,902.45,-100.3675,-1630.7649999999999,896.553,430.9225
3.955,65.7825,-1715.095,131.7705,264.586,-1897.2265,97.9865,-1671.9,888.3175,-105.53649999999999,-1551.125,909.6795,421.2385
3.975,62.984,-1601.4234999999999,117.69200000000001,263.398,-1896.019,99.0175,-1663.95,873.9485,-109.852,-1472.715,922.9545,411.28499999999997
3.995,60.769000000000005,-1487.4875,109.3665,262.3075,-1894.97,100.13,-1654.0149999999999,859.7265,-113.287,-1396.21,936.3865000000001,401.222
4.015,59.665,-1376.7495,106.703,261.46500000000003,-1893.958,101.694,-1641.415,846.162,-115.868,-1322.3400000000001,950.0145,391.1885
4.035,60.1985,-1273.653,108.3295,261.0095,-1892.625,104.298,-1625.45,833.8050000000001,-117.66499999999999,-1251.875,963.822,381.376
4.055,62.75149999999999,-1182.827,111.765,261.051,-1890.307,108.687,-1605.5149999999999,823.1205,-118.7715,-1185.53,977.681,372.08950000000004
4.075,67.377,-1107.8795,114.16149999999999,261.6605,-1885.9485,115.6445,-1581.0749999999998,814.3945000000001,-119.2945,-1123.935,991.2965,363.74649999999997
4.095,73.608,-1050.251,113.416,262.85450000000003,-1878.062,125.82600000000001,-1551.775,807.7075,-119.3455,-1067.52,1004.21,356.7665
4.115,80.4225,-1008.7465,109.0535,264.5885,-1864.8004999999998,139.60500000000002,-1517.45,802.9604999999999,-119.05,-1016.5,1015.8199999999999,351.457
4.135,86.501,-980.1585,102.2835,266.7735,-1844.212,156.9295,-1478.0149999999999,799.9555,-118.551,-970.8145,1025.45,347.967
4.155,90.74950000000001,-960.68,95.1555,269.3065,-1814.629,177.1845,-1433.47,798.4594999999999,-118.02850000000001,-930.1665,1032.52,346.309
4.175,92.7615,-947.232,89.4245,272.0925,-1775.0475000000001,199.072,-1383.8049999999998,798.2795000000001,-117.6815,-894.0865,1036.58,346.41650000000004
4.195,92.922,-937.9304999999999,85.87049999999999,275.025,-1725.3225,220.613,-1329.0700000000002,799.312,-117.6885,-862.064,1037.42,348.1685
4.215,92.09649999999999,-931.7405,84.3315,277.9715,-1666.0965,239.404,-1269.385,801.5975,-118.1575,-833.6775,1035.01,351.409
4.235,91.1625,-927.933,84.15700000000001,280.80150000000003,-1598.527,253.11149999999998,-1205.0700000000002,805.3340000000001,-119.0935,-808.6669999999999,1029.48,355.9575
4.255,90.6635,-925.8185,84.66499999999999,283.423,-1523.9625,260.01750000000004,-1136.665,810.8489999999999,-120.4,-786.917,1021.075,361.645
4.275,90.7165,-924.7435,85.381,285.7875,-1443.6354999999999,259.361,-1064.8400000000001,818.488,-121.89500000000001,-768.3895,1010.14,368.3315
4.295,91.1395,-924.1765,86.083,287.841,-1358.4575,251.376,-990.3979999999999,828.4849999999999,-123.338,-753.0385000000001,997.12,375.8855
4.3149999999999995,91.66499999999999,-923.7565,86.735,289.4815,-1268.9299999999998,237.09449999999998,-914.123,840.8515,-124.4725,-740.7155,982.5219999999999,384.1565
4.335,92.11850000000001,-923.28,87.3825,290.55449999999996,-1175.203,218.095,-836.7465,855.346,-125.0555,-731.111,966.9269999999999,392.951
4.355,92.4905,-922.6610000000001,88.06649999999999,290.8855,-1077.2314999999999,196.2825,-758.9380000000001,871.5219999999999,-124.8895,-723.7384999999999,950.919,402.0335
4.375,92.892,-921.887,88.7895,290.327,-974.9839999999999,173.719,-681.2825,888.8399999999999,-123.837,-717.9655,935.043,411.13800000000003
4.395,93.4545,-920.9884999999999,89.532,288.77049999999997,-868.6825,152.46699999999998,-604.3155,906.783,-121.83,-713.0915,919.752,419.98
4.415,94.2495,-920.01,90.31,286.12800000000004,-759.064,134.4005,-528.559,924.9385,-118.88550000000001,-708.3935,905.3879999999999,428.298
4.4350000000000005,95.263,-918.994,91.2175,282.3045,-647.6585,120.951,-454.5615,942.995,-115.1215,-703.1005,892.2165,435.882
4.455,96.41550000000001,-917.9555,92.46600000000001,277.22950000000003,-537.015,112.7955,-382.91949999999997,960.7094999999999,-110.75049999999999,-696.343,880.4649999999999,442.589
4.475,97.56450000000001,-916.826,94.4115,270.9315,-430.728,109.5615,-314.25649999999996,977.844,-106.05250000000001,-687.1435,870.3275,448.345
