Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
3.545,123.5255,-2462.8385,174.60000000000002,345.379,-1557.1100000000001,117.93950000000001,-1570.78,1003.9549999999999,-76.644,-2078.135,786.4535000000001,521.898
3.565,119.049,-2438.1854999999996,193.29500000000002,344.3835,-1540.7069999999999,113.2145,-1536.33,989.2940000000001,-75.447,-2030.205,783.352,524.213
3.585,113.4365,-2403.9935,216.26850000000002,345.0425,-1529.7224999999999,110.862,-1507.1599999999999,971.1524999999999,-73.82650000000001,-1979.325,783.4635000000001,525.934
3.605,107.985,-2358.8975,242.644,346.366,-1522.9495,110.08699999999999,-1483.55,950.3475,-71.488,-1925.325,786.653,527.185
3.625,103.955,-2302.541,269.9885,347.5075,-1519.144,110.0815,-1465.815,928.1405,-68.1705,-1868.375,792.5365,528.111
3.645,101.9105,-2235.755,294.59900000000005,348.163,-1517.1545,110.394,-1454.0349999999999,906.2295,-63.7705,-1809.0549999999998,800.614,528.8420000000001
3.665,101.65950000000001,-2160.346,312.6335,348.49850000000004,-1516.158,110.8775,-1447.75,886.563,-58.443,-1748.195,810.433,529.4449999999999
3.685,102.72399999999999,-2078.4615000000003,321.4865,348.8455,-1515.6390000000001,111.47749999999999,-1445.915,870.904,-52.582,-1686.55,821.623,529.902
3.705,104.85,-1991.865,320.5455,349.3915,-1515.3049999999998,112.1035,-1446.97,860.285,-46.6665,-1624.6750000000002,833.8245,530.1659999999999
3.725,108.1545,-1901.5825,310.986,350.04999999999995,-1515.01,112.6585,-1449.1799999999998,854.7185,-41.056,-1562.905,846.5725,530.2015
3.745,112.8725,-1807.971,294.90700000000004,350.571,-1514.672,113.1015,-1450.8850000000002,853.351,-35.868,-1501.4299999999998,859.2429999999999,529.9300000000001
3.7649999999999997,118.99549999999999,-1710.9795,274.4375,350.75,-1514.223,113.4705,-1450.77,854.858,-31.052,-1440.435,871.1335,529.2655
3.785,126.10749999999999,-1610.3745,251.29399999999998,350.53049999999996,-1513.6019999999999,113.856,-1447.925,857.806,-26.563000000000002,-1380.0349999999999,881.5995,528.1804999999999
3.8049999999999997,133.498,-1505.887,226.8295,349.9755,-1512.775,114.369,-1442.01,860.913,-22.451999999999998,-1320.325,890.145,526.7495
