Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
3.105,140.3965,-2088.4440000000004,210.96699999999998,285.805,-1353.6315,121.6875,-1332.47,959.732,-76.1785,-1835.2849999999999,832.5730000000001,501.0225
3.125,132.714,-2055.4764999999998,227.04700000000003,282.567,-1341.132,117.74799999999999,-1295.9499999999998,960.0995,-79.69,-1789.705,829.1745000000001,500.9345
3.145,125.485,-2013.2555,245.7695,281.28200000000004,-1332.5455,116.039,-1263.7350000000001,956.6855,-82.8495,-1738.97,824.9960000000001,501.08799999999997
3.165,119.86500000000001,-1961.7825,266.2655,281.02750000000003,-1327.3835,115.879,-1235.83,950.0409999999999,-85.3635,-1683.22,820.3009999999999,501.5675
3.185,116.2445,-1901.5535,285.96,281.1955,-1324.9535,116.35,-1212.3200000000002,940.981,-86.95949999999999,-1622.7150000000001,815.577,502.3505
3.205,113.9915,-1833.3445000000002,301.1735,281.6155,-1324.241,116.8875,-1193.205,930.3620000000001,-87.45750000000001,-1557.83,811.5129999999999,503.21
3.225,111.914,-1758.2205,308.6195,282.2605,-1324.2675,117.37549999999999,-1178.225,918.961,-86.798,-1489.0900000000001,808.879,503.8095
3.245,109.04849999999999,-1677.424,306.6585,282.98249999999996,-1324.3695,117.9295,-1166.96,907.409,-85.013,-1417.17,808.348,503.904
3.2649999999999997,105.136,-1591.946,295.506,283.456,-1324.2205,118.656,-1158.8049999999998,896.162,-82.23,-1342.855,810.351,503.423
3.285,100.5925,-1502.149,276.6545,283.334,-1323.6925,119.5675,-1153.0900000000001,885.5184999999999,-78.6585,-1266.9299999999998,815.0485,502.3615
3.3049999999999997,96.134,-1407.852,252.27,282.507,-1322.7365,120.6575,-1149.08,875.642,-74.55449999999999,-1190.17,822.394,500.67600000000004
