Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
9.545,6.6335,-4523.388,270.85,272.8805,-3717.0985,193.3315,-3694.9750000000004,1052.94,-125.5415,-4189.955,935.4145,482.4465
9.565000000000001,1.8075,-4499.986999999999,287.2075,270.026,-3701.556,190.0145,-3668.645,1044.7800000000002,-127.905,-4141.014999999999,928.395,487.4045
9.585,-2.5005,-4467.4285,306.3555,268.705,-3690.6059999999998,188.779,-3646.6800000000003,1036.17,-130.6215,-4087.8549999999996,923.0084999999999,491.429
9.605,-5.601,-4424.982,326.9785,268.4805,-3683.3685,188.812,-3628.9449999999997,1027.5700000000002,-133.35899999999998,-4030.835,919.521,494.5085
9.625,-6.7825,-4373.388,346.8755,268.6105,-3678.8450000000003,189.257,-3614.96,1019.415,-135.7215,-3970.4,918.08,496.741
9.645,-5.619999999999999,-4314.439,363.452,268.6165,-3676.2035,189.7185,-3604.135,1012.175,-137.338,-3907.04,918.8965000000001,498.2235
9.665,-2.2415,-4249.5830000000005,374.3055,268.4945,-3674.7960000000003,190.1655,-3595.795,1006.34,-138.01,-3841.3500000000004,922.312,498.9745
9.684999999999999,2.6075,-4179.5665,377.70950000000005,268.476,-3674.0395,190.64,-3589.29,1002.4200000000001,-137.7945,-3774.025,928.629,498.952
9.705,7.9695,-4104.9915,373.1645,268.7285,-3673.493,191.18200000000002,-3583.84,1000.715,-136.886,-3705.75,937.8485000000001,498.10450000000003
9.725000000000001,13.2305,-4026.3225,361.4345,269.2335,-3672.9285,191.846,-3578.665,1001.165,-135.4955,-3637.175,949.5805,496.371
9.745000000000001,18.274,-3943.848,344.055,269.774,-3672.251,192.685,-3573.07,1003.24,-133.81400000000002,-3568.735,963.1025,493.69550000000004
9.765,23.313000000000002,-3857.8914999999997,322.8695,270.07550000000003,-3671.4275,193.7325,-3566.5150000000003,1006.11,-132.003,-3500.79,977.567,490.07050000000004
9.785,28.612499999999997,-3768.8075,299.68399999999997,270.02,-3670.4785,194.986,-3558.675,1008.92,-130.243,-3433.58,992.203,485.6385
9.805,34.2465,-3676.7664999999997,276.04949999999997,269.711,-3669.455,196.4225,-3549.34,1010.99,-128.7335,-3367.33,1006.45,480.774
9.825,39.979,-3581.8334999999997,253.368,269.3215,-3668.352,198.006,-3538.37,1011.825,-127.61099999999999,-3302.295,1019.89,475.86199999999997
9.844999999999999,45.323,-3484.311,233.1315,268.889,-3667.0865000000003,199.715,-3525.695,1011.135,-126.916,-3238.73,1032.135,471.1155
9.864999999999998,49.8535,-3385.0735,216.833,268.2155,-3665.5855,201.5335,-3511.24,1008.7650000000001,-126.655,-3176.9399999999996,1042.795,466.7205
9.885000000000002,53.4015,-3285.816,205.6205,267.012,-3663.7905,203.46550000000002,-3494.92,1004.735,-126.86099999999999,-3117.2,1051.5149999999999,462.859
9.905000000000001,56.073499999999996,-3189.0695,199.8145,265.24699999999996,-3661.6585,205.5925,-3476.585,999.1255000000001,-127.58,-3059.7799999999997,1058.0149999999999,459.6515
9.925,58.296499999999995,-3097.9719999999998,198.4905,263.344,-3659.1475,208.14,-3455.965,992.1034999999999,-128.823,-3004.9750000000004,1062.06,457.173
9.945,60.771,-3016.0125,199.36399999999998,262.0775,-3656.1324999999997,211.50650000000002,-3432.665,983.8965000000001,-130.5595,-2953.125,1063.55,455.5325
9.965,64.0885,-2946.5485,199.47250000000003,262.29650000000004,-3652.3109999999997,216.18,-3406.2349999999997,974.87,-132.74599999999998,-2904.635,1062.585,454.85
